"","mun_code","municipio","incidence 2007","incidence 2008","incidence 2009","incidence 2010","incidence 2011","incidence 2012","incidence 2013","incidence 2014","incidence 2015","incidence 2016","incidence 2017","incidence 2018","incidence 2019","incidence 2020","incidence 2021","incidence 2022","incidence 2023","incidence 2024"
"65","120038","120038 PLACIDO DE CASTRO",0,0,0,0,0,28.4300904076875,39.3368923855015,61.1824906835753,33.0414670411366,21.8150087260035,5.40248514316586,10.2223358037312,0,15.0338261087447,0,0,12.0772946859903,5.83873416243358
"66","120039","120039 PORTO WALTER",0,0,0,0,0,0,0,9.56663158901751,0,0,8.80824451686779,42.6621160409556,8.34585211150058,16.3385344334613,24.0057613827319,9.34055669717915,27.9459711224965,97.5609756097561
"67","120040","120040 RIO BRANCO",7.132910940955,11.2807649685798,20.26468290674,10.7130741166178,26.0006602414848,60.2835047107253,97.7060084995829,223.121056912356,203.751180677371,32.0906388158819,27.9050602045154,24.9280203412646,23.3232429619046,13.7874983672699,9.77465836376987,8.7823299521363,20.0133788066543,4.89877582170519
"68","120042","120042 RODRIGUES ALVES",0,0,0,0,0,0,6.2625250501002,12.1396054628225,41.2395428302109,5.72606504809895,5.57258289217052,10.8084738434933,10.5652403592182,0,10.1178732230485,12.4440019910403,46.8603561387067,12.8724979082191
"69","120043","120043 SANTA ROSA DO PURUS",0,0,0,0,0,0,37.2162262746558,0,0,0,32.1027287319422,0,0,0,0,13.0344108446298,14.8743120630671,0
"70","120045","120045 SENADOR GUIOMARD",0,0,0,0,0,14.571595103944,48.0792345785855,57.1646341463415,42.4889056746294,4.67967616640928,13.9198218262806,26.3042525208242,0,4.30366672404889,12.7953595496033,0,9.32227090519251,0
"71","120050","120050 SENA MADUREIRA",0,0,8.29462508294625,0,2.58337854245783,12.7013158563227,17.3649872243308,36.5532702992494,16.7664670658683,7.06697133165296,6.95426412295139,6.64054718108772,2.18112022334671,2.15002902539184,4.24016282225237,0,2.41878915414943,2.27707441479188
"72","120060","120060 TARAUACA",0,0,2.95124542556959,2.80977802753582,5.52699939203007,2.72012621385632,47.9092917409704,28.7950577210021,7.72817434761328,5.07266593958455,2.49850089946032,16.6761959214789,25.8416143961285,4.63488679289008,9.14703864623828,2.32169390787519,4.60119170865254,15.0482619257476
"73","120070","120070 XAPURI",0,0,0,0,48.8698839340257,12.0199531221828,17.6252864109042,23.0986891493908,85.1885506587915,16.7653962221974,11.004732034775,5.24989500209996,10.3503596749987,10.2061645233721,15.1011778918756,5.500247511138,10.9631091377515,5.23834468308015
"74","120080","120080 PORTO ACRE",0,0,0,6.72043010752688,13.1466508906856,64.3749195313506,131.012539771664,353.744815808734,196.93262517157,17.5325813803986,22.9108196345724,33.003300330033,21.6169476869866,21.2494687632809,5.22438744057259,0,11.9810699095429,11.4580349470066
"75","130002","130002 ALVARAES",0,0,0,0,7.02395167521247,0,0,0,6.43293663557414,6.35768326021998,0,0,0,0,0,6.28298567479266,0,0
"76","130006","130006 AMATURA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","130008","130008 ANAMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","130010","130010 ANORI",0,0,0,0,0,0,5.44929431638603,0,0,0,0,0,0,0,0,17.5932441942294,5.81598231941375,11.153245594468
"79","130014","130014 APUI",0,0,0,5.55339590159382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","130020","130020 ATALAIA DO NORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
